Game,Home,Away,Date,Time,Stadium
157,Paysandu / PA,Atlético / AC,10/08/2019,17:00,Olímpico do Pará / Belem
158,Boa / MG,São José / RS,11/08/2019,16:00,Dilzon Luís de Melo / Varginha
159,Juventude / RS,Tombense / MG,08/08/2019,20:00,Alfredo Jaconi / Caxias do Sul
160,Volta Redonda / RJ,Remo / PA,09/08/2019,20:00,Sylvio Raulino de Oliveira / Volta Redonda
161,ABC / RN,Sampaio Corrêa / MA,17/08/2019,19:15,Maria Lamas Farache / Natal
162,Imperatriz / MA,Ferroviário / CE,17/08/2019,19:00,Frei Epifânio D´abadia / Imperatriz
163,Santa Cruz / PE,Globo / RN,18/08/2019,18:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
164,Botafogo / PB,Náutico / PE,17/08/2019,17:00,José Américo de Almeida Filho / Joao Pessoa
165,Confiança / SE,Treze / PB,18/08/2019,16:00,Lourival Baptista / Aracaju
166,Luverdense / MT,Paysandu / PA,15/08/2019,20:00,Passo das Emas / Lucas do Rio Verde
167,Remo / PA,São José / RS,16/08/2019,20:00,Olímpico do Pará / Belem
168,Tombense / MG,Atlético / AC,17/08/2019,16:00,Antônio Guimarães de Almeida / Tombos
169,Ypiranga / RS,Boa / MG,18/08/2019,15:30,Colosso da Lagoa / Erechim
170,Volta Redonda / RJ,Juventude / RS,19/08/2019,20:00,Sylvio Raulino de Oliveira / Volta Redonda
171,Globo / RN,ABC / RN,24/08/2019,17:00,Manoel Dantas Barretto / Ceara-Mirim
172,Sampaio Corrêa / MA,Imperatriz / MA,24/08/2019,17:00,Governador João Castelo / Sao Luis
173,Náutico / PE,Santa Cruz / PE,24/08/2019,17:00,Eládio de Barros Carvalho / Recife
174,Treze / PB,Botafogo / PB,24/08/2019,17:00,Ernani Sátyro / Campina Grande
175,Ferroviário / CE,Confiança / SE,24/08/2019,17:00,Presidente Vargas / Fortaleza
176,Atlético / AC,Luverdense / MT,25/08/2019,18:00,Antonio Aquino Lopes / Rio Branco
177,Paysandu / PA,Remo / PA,25/08/2019,18:00,Olímpico do Pará / Belem
178,Boa / MG,Tombense / MG,22/08/2019,19:00,Dilzon Luís de Melo / Varginha
179,Juventude / RS,Ypiranga / RS,25/08/2019,18:00,Alfredo Jaconi / Caxias do Sul
180,São José / RS,Volta Redonda / RJ,25/08/2019,18:00,Passo D´areia / Porto Alegre
181,Paysandu / PA,Náutico / PE,01/09/2019,18:00,Olímpico do Pará / Belem
182,Imperatriz / MA,Juventude / RS,02/09/2019,20:00,Frei Epifânio D´abadia / Imperatriz
183,Confiança / SE,Ypiranga / RS,31/08/2019,17:00,Lourival Baptista / Aracaju
184,São José / RS,Sampaio Corrêa / MA,31/08/2019,19:15,Passo D´areia / Porto Alegre
185,Náutico / PE,Paysandu / PA,08/09/2019,18:00,Eládio de Barros Carvalho / Recife
186,Juventude / RS,Imperatriz / MA,09/09/2019,20:00,Alfredo Jaconi / Caxias do Sul
187,Ypiranga / RS,Confiança / SE,07/09/2019,17:00,Colosso da Lagoa / Erechim
188,Sampaio Corrêa / MA,São José / RS,07/09/2019,19:15,Governador João Castelo / Sao Luis
189,Confiança / SE,Sampaio Corrêa / MA,14/09/2019,17:00,Lourival Baptista / Aracaju
190,Juventude / RS,Náutico / PE,15/09/2019,18:00,Alfredo Jaconi / Caxias do Sul
191,Sampaio Corrêa / MA,Confiança / SE,21/09/2019,17:00,Governador João Castelo / Sao Luis
192,Náutico / PE,Juventude / RS,22/09/2019,18:00,Eládio de Barros Carvalho / Recife
193,Náutico / PE,Sampaio Corrêa / MA,29/09/2019,16:00,Eládio de Barros Carvalho / Recife
194,Sampaio Corrêa / MA,Náutico / PE,06/10/2019,16:00,Governador João Castelo / Sao Luis
