Game,Home,Away
058,Goiás / GO,Santos / SP
059,Avaí / SC,Juventude / RS
060,Coritiba / PR,América / MG
061,América / MG,Botafogo / RJ
062,Flamengo / RJ,Goiás / GO
063,Red Bull Red Bull Bragantino / SP,Atlético Mineiro / MG
064,Corinthians / SP,São Paulo / SP
065,Santos / SP,Ceará / CE
066,Juventude / RS,Palmeiras / SP
067,Fortaleza / CE,Fluminense / RJ
068,Atlético / GO,Coritiba / PR
069,Cuiabá / MT,Internacional / RS
070,Athletico Paranaense / PR,Avaí / SC
071,Atlético Mineiro / MG,Avaí / SC
072,Fluminense / RJ,Flamengo / RJ
073,São Paulo / SP,Ceará / CE
074,Corinthians / SP,América / MG
075,Santos / SP,Palmeiras / SP
076,Internacional / RS,Atlético / GO
077,Fortaleza / CE,Juventude / RS
078,Goiás / GO,Red Bull Red Bull Bragantino / SP
079,Cuiabá / MT,Athletico Paranaense / PR
080,Coritiba / PR,Botafogo / RJ
081,América / MG,Cuiabá / MT
082,Flamengo / RJ,Fortaleza / CE
083,Red Bull Red Bull Bragantino / SP,Internacional / RS
084,Palmeiras / SP,Atlético Mineiro / MG
085,Botafogo / RJ,Goiás / GO
086,Juventude / RS,Fluminense / RJ
087,Ceará / CE,Coritiba / PR
088,Atlético / GO,Corinthians / SP
089,Avaí / SC,São Paulo / SP
090,Athletico Paranaense / PR,Santos / SP
091,América / MG,Ceará / CE
092,Fluminense / RJ,Atlético Mineiro / MG
093,Red Bull Red Bull Bragantino / SP,Flamengo / RJ
094,Palmeiras / SP,Botafogo / RJ
095,Santos / SP,Internacional / RS
096,Juventude / RS,Athletico Paranaense / PR
097,Fortaleza / CE,Goiás / GO
098,Atlético / GO,Avaí / SC
099,Cuiabá / MT,Corinthians / SP
100,Coritiba / PR,São Paulo / SP
101,Atlético Mineiro / MG,Santos / SP
102,Fluminense / RJ,Atlético / GO
103,São Paulo / SP,América / MG
104,Corinthians / SP,Juventude / RS
105,Botafogo / RJ,Avaí / SC
106,Internacional / RS,Flamengo / RJ
107,Fortaleza / CE,Athletico Paranaense / PR
108,Goiás / GO,Ceará / CE
109,Cuiabá / MT,Red Bull Red Bull Bragantino / SP
