Game,Home,Away,Date,Time,Stadium
212,ASA / AL,Itabaiana / SE,16/06/2019,16:00,Coaracy da Mata Fonseca / Arapiraca
213,Ituano / SP,Caldense / MG,16/06/2019,16:00,Novelli Junior / Itu
214,Hercilio Luz / SC,Brusque / SC,16/06/2019,16:00,Aníbal Torres Costa / Tubarao
215,Caxias / RS,Avenida / RS,16/06/2019,16:00,Francisco Stédile / Caxias do Sul
216,São Raimundo / PA,São Raimundo / RR,16/06/2019,17:00,Estadual de Santarém (jader Barbalho) / Santarem
217,Real Desportivo / RO,Manaus / AM,16/06/2019,18:00,Gentil Valério de Lima / Ariquemes
218,União de Rondonópolis / MT,Ipora / GO,16/06/2019,19:00,Luthero Lopes / Rondonopolis
219,Floresta / CE,Moto Club / MA,17/06/2019,16:00,Presidente Vargas / Fortaleza
220,América / PE,América / RN,18/06/2019,19:15,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
221,Jacuipense / BA,Central / PE,20/06/2019,15:00,Eliel Martins / Riachao do Jacuipe
222,Fluminense de Feira / BA,Salgueiro / PE,20/06/2019,17:00,Alberto Oliveira / Feira de Santana
223,Itabaiana / SE,ASA / AL,22/06/2019,20:00,Etelvino Mendonça / Itabaiana
224,Novorizontino / SP,Boavista / RJ,23/06/2019,11:00,Dr. Jorge Ismael de Biasi / Novo Horizonte
225,Ipora / GO,União de Rondonópolis / MT,23/06/2019,15:00,Francisco José Ferreira / Ipora
226,Brasiliense / DF,Vitória / ES,23/06/2019,15:30,Elmo Serejo Farias / Brasilia
227,Atlético / CE,Bragantino / PA,23/06/2019,16:00,Presidente Vargas / Fortaleza
228,Atlético Patrocinense / MG,Juazeirense / BA,23/06/2019,16:00,Pedro Alves do Nascimento / Patrocinio
229,Brusque / SC,Hercilio Luz / SC,23/06/2019,16:00,Augusto Bauer / Brusque
230,Cianorte / PR,Ferroviária / SP,23/06/2019,16:00,Albino Turbay / Cianorte
231,Avenida / RS,Caxias / RS,23/06/2019,16:00,Eucaliptos / Santa Cruz do Sul
232,São Raimundo / RR,São Raimundo / PA,23/06/2019,17:00,Raimundo Ribeiro de Souza / Boa Vista
233,Manaus / AM,Real Desportivo / RO,23/06/2019,18:00,Arena da Amazônia / Manaus
234,Moto Club / MA,Floresta / CE,23/06/2019,17:00,Governador João Castelo / Sao Luis
235,Caldense / MG,Ituano / SP,23/06/2019,11:00,Ronaldo Junqueira / Pocos de Caldas
236,América / RN,América / PE,23/06/2019,17:00,Arena das Dunas / Natal
237,Bragantino / PA,Floresta / CE,30/06/2019,15:00,São Benedito / Braganca
238,Vitória / ES,Ituano / SP,30/06/2019,15:00,Salvador Venâncio da Costa / Vitoria
239,Boavista / RJ,Brusque / SC,30/06/2019,15:30,Elcyr Resende de Mendonça / Saquarema
240,Fluminense de Feira / BA,Itabaiana / SE,30/06/2019,16:00,Alberto Oliveira / Feira de Santana
241,Juazeirense / BA,Ipora / GO,30/06/2019,16:00,Adauto Moraes / Juazeiro
242,Caxias / RS,Cianorte / PR,30/06/2019,16:00,Francisco Stédile / Caxias do Sul
243,São Raimundo / PA,Manaus / AM,30/06/2019,17:00,Estadual de Santarém (jader Barbalho) / Santarem
244,América / RN,Jacuipense / BA,30/06/2019,17:00,Arena das Dunas / Natal
245,Manaus / AM,São Raimundo / PA,06/07/2019,18:00,Arena da Amazônia / Manaus
246,Ituano / SP,Vitória / ES,06/07/2019,19:00,Novelli Junior / Itu
247,Itabaiana / SE,Fluminense de Feira / BA,06/07/2019,20:00,Etelvino Mendonça / Itabaiana
248,Jacuipense / BA,América / RN,07/07/2019,15:00,Eliel Martins / Riachao do Jacuipe
249,Ipora / GO,Juazeirense / BA,07/07/2019,15:00,Francisco José Ferreira / Ipora
250,Cianorte / PR,Caxias / RS,07/07/2019,15:00,Albino Turbay / Cianorte
251,Floresta / CE,Bragantino / PA,08/07/2019,16:00,Presidente Vargas / Fortaleza
252,Brusque / SC,Boavista / RJ,08/07/2019,20:00,Augusto Bauer / Brusque
253,Ituano / SP,Itabaiana / SE,13/07/2019,16:00,Novelli Junior / Itu
254,Caxias / RS,Manaus / AM,14/07/2019,16:00,Francisco Stédile / Caxias do Sul
255,Juazeirense / BA,Brusque / SC,15/07/2019,15:00,Adauto Moraes / Juazeiro
256,Floresta / CE,Jacuipense / BA,15/07/2019,16:00,Presidente Vargas / Fortaleza
257,Manaus / AM,Caxias / RS,20/07/2019,16:00,Arena da Amazônia / Manaus
258,Itabaiana / SE,Ituano / SP,20/07/2019,20:00,Etelvino Mendonça / Itabaiana
259,Jacuipense / BA,Floresta / CE,21/07/2019,15:00,Eliel Martins / Riachao do Jacuipe
260,Brusque / SC,Juazeirense / BA,21/07/2019,16:00,Augusto Bauer / Brusque
261,Jacuipense / BA,Manaus / AM,28/07/2019,15:00,Eliel Martins / Riachao do Jacuipe
262,Ituano / SP,Brusque / SC,28/07/2019,16:00,Novelli Junior / Itu
263,Manaus / AM,Jacuipense / BA,03/08/2019,18:00,Arena da Amazônia / Manaus
264,Brusque / SC,Ituano / SP,04/08/2019,16:00,Augusto Bauer / Brusque
265,Brusque / SC,Manaus / AM,11/08/2019,16:00,Augusto Bauer / Brusque
266,Manaus / AM,Brusque / SC,18/08/2019,16:00,Arena da Amazônia / Manaus
