Game,Home,Away
281,Ponte Preta / SP,Sport / PE
282,CSA / AL,CRB / AL
283,Náutico / PE,Brusque / SC
284,Criciúma / SC,Bahia / BA
285,Ituano / SP,Tombense / MG
286,Londrina / PR,Chapecoense / SC
287,Grêmio / RS,Vasco da Gama / RJ
288,Sampaio Corrêa / MA,Novorizontino / SP
289,Cruzeiro / MG,Operário / PR
290,Vila Nova / GO,Guarani / SP
291,Ponte Preta / SP,Ituano / SP
292,CRB / AL,Cruzeiro / MG
293,Sport / PE,Bahia / BA
294,Brusque / SC,Vila Nova / GO
295,Novorizontino / SP,Grêmio / RS
296,Operário / PR,Guarani / SP
297,Vasco da Gama / RJ,Náutico / PE
298,Sampaio Corrêa / MA,Criciúma / SC
299,Tombense / MG,Londrina / PR
300,Chapecoense / SC,CSA / AL
301,Guarani / SP,Novorizontino / SP
302,CSA / AL,Tombense / MG
303,Náutico / PE,Sampaio Corrêa / MA
304,Criciúma / SC,Chapecoense / SC
305,Ituano / SP,Brusque / SC
306,Londrina / PR,Ponte Preta / SP
307,Grêmio / RS,Sport / PE
308,Bahia / BA,Operário / PR
309,Cruzeiro / MG,Vasco da Gama / RJ
310,Vila Nova / GO,CRB / AL
311,Ponte Preta / SP,Cruzeiro / MG
312,CSA / AL,Guarani / SP
313,Sport / PE,Náutico / PE
314,Brusque / SC,Criciúma / SC
315,Ituano / SP,CRB / AL
316,Operário / PR,Vila Nova / GO
317,Vasco da Gama / RJ,Londrina / PR
318,Sampaio Corrêa / MA,Grêmio / RS
319,Tombense / MG,Novorizontino / SP
320,Chapecoense / SC,Bahia / BA
321,Guarani / SP,Londrina / PR
322,CRB / AL,Chapecoense / SC
323,Náutico / PE,Tombense / MG
324,Brusque / SC,Sport / PE
325,Novorizontino / SP,Bahia / BA
326,Operário / PR,Vasco da Gama / RJ
327,Grêmio / RS,CSA / AL
328,Sampaio Corrêa / MA,Ponte Preta / SP
329,Cruzeiro / MG,Ituano / SP
330,Vila Nova / GO,Criciúma / SC
331,Ponte Preta / SP,Vila Nova / GO
332,CSA / AL,Sampaio Corrêa / MA
333,Sport / PE,Cruzeiro / MG
334,Criciúma / SC,Náutico / PE
335,Ituano / SP,Guarani / SP
336,Londrina / PR,Grêmio / RS
337,Vasco da Gama / RJ,Novorizontino / SP
338,Bahia / BA,Brusque / SC
339,Tombense / MG,CRB / AL
340,Chapecoense / SC,Operário / PR
341,Guarani / SP,CRB / AL
342,CSA / AL,Londrina / PR
343,Sport / PE,Vasco da Gama / RJ
344,Criciúma / SC,Ituano / SP
345,Novorizontino / SP,Náutico / PE
346,Operário / PR,Brusque / SC
347,Grêmio / RS,Bahia / BA
348,Sampaio Corrêa / MA,Chapecoense / SC
349,Tombense / MG,Ponte Preta / SP
350,Vila Nova / GO,Cruzeiro / MG
351,Ponte Preta / SP,CSA / AL
352,CRB / AL,Operário / PR
353,Náutico / PE,Grêmio / RS
354,Brusque / SC,Novorizontino / SP
355,Ituano / SP,Sampaio Corrêa / MA
356,Londrina / PR,Sport / PE
357,Vasco da Gama / RJ,Criciúma / SC
358,Bahia / BA,Vila Nova / GO
359,Cruzeiro / MG,Guarani / SP
360,Chapecoense / SC,Tombense / MG
361,Ponte Preta / SP,Criciúma / SC
362,CSA / AL,Vila Nova / GO
363,Sport / PE,Operário / PR
364,Brusque / SC,CRB / AL
365,Novorizontino / SP,Cruzeiro / MG
366,Londrina / PR,Ituano / SP
367,Vasco da Gama / RJ,Sampaio Corrêa / MA
368,Bahia / BA,Guarani / SP
369,Tombense / MG,Grêmio / RS
370,Chapecoense / SC,Náutico / PE
371,Guarani / SP,Chapecoense / SC
372,CRB / AL,Bahia / BA
373,Náutico / PE,Ponte Preta / SP
374,Criciúma / SC,Tombense / MG
375,Ituano / SP,Vasco da Gama / RJ
376,Operário / PR,Novorizontino / SP
377,Grêmio / RS,Brusque / SC
378,Sampaio Corrêa / MA,Londrina / PR
379,Cruzeiro / MG,CSA / AL
380,Vila Nova / GO,Sport / PE
