Game,Home,Away
142,Campinense / PB,Ferroviário / CE
143,Confiança / SE,São José / RS
144,Vitória / BA,Paysandu / PA
145,Brasil / RS,Atlético / CE
146,Manaus / AM,Volta Redonda / RJ
147,Figueirense / SC,Botafogo / SP
148,Aparecidense / GO,Altos / PI
149,Remo / PA,ABC / RN
150,Floresta / CE,Mirassol / SP
151,São José / RS,Botafogo / SP
152,Botafogo / PB,Remo / PA
153,Atlético / CE,Manaus / AM
154,ABC / RN,Floresta / CE
155,Brasil / RS,Aparecidense / GO
156,Altos / PI,Campinense / PB
157,Mirassol / SP,Confiança / SE
158,Volta Redonda / RJ,Ypiranga / RS
159,Ferroviário / CE,Vitória / BA
160,Paysandu / PA,Figueirense / SC
161,Ypiranga / RS,Mirassol / SP
162,Campinense / PB,Paysandu / PA
163,Confiança / SE,Altos / PI
164,Vitória / BA,ABC / RN
165,Botafogo / SP,Volta Redonda / RJ
166,Manaus / AM,Botafogo / PB
167,Figueirense / SC,São José / RS
168,Aparecidense / GO,Atlético / CE
169,Remo / PA,Ferroviário / CE
170,Floresta / CE,Brasil / RS
171,Ypiranga / RS,Manaus / AM
172,Botafogo / PB,Figueirense / SC
173,Atlético / CE,Botafogo / SP
174,ABC / RN,São José / RS
175,Brasil / RS,Confiança / SE
176,Altos / PI,Paysandu / PA
177,Mirassol / SP,Vitória / BA
178,Volta Redonda / RJ,Ferroviário / CE
179,Remo / PA,Aparecidense / GO
180,Floresta / CE,Campinense / PB
181,São José / RS,Altos / PI
182,Campinense / PB,Volta Redonda / RJ
183,Confiança / SE,Atlético / CE
184,Vitória / BA,Brasil / RS
185,Botafogo / SP,Remo / PA
186,Manaus / AM,Mirassol / SP
187,Figueirense / SC,ABC / RN
188,Aparecidense / GO,Botafogo / PB
189,Ferroviário / CE,Ypiranga / RS
190,Paysandu / PA,Floresta / CE
191,ABC / RN,Figueirense / SC
192,Aparecidense / GO,Mirassol / SP
193,Vitória / BA,Paysandu / PA
194,Botafogo / SP,Volta Redonda / RJ
195,Paysandu / PA,ABC / RN
196,Mirassol / SP,Botafogo / SP
197,Figueirense / SC,Vitória / BA
198,Volta Redonda / RJ,Aparecidense / GO
199,Figueirense / SC,Paysandu / PA
200,Volta Redonda / RJ,Mirassol / SP
201,Aparecidense / GO,Botafogo / SP
202,Vitória / BA,ABC / RN
203,ABC / RN,Vitória / BA
204,Mirassol / SP,Volta Redonda / RJ
205,Paysandu / PA,Figueirense / SC
206,Botafogo / SP,Aparecidense / GO
